Coding,Value,Meaning
2,8117389,"Marker, plate (rolling mill)"
2,8117390,Marker-off (foundry)
2,8117391,"Mate, blacksmith's"
2,8117392,"Mate, forger's, drop"
2,8117393,"Mate, smith's"
2,8117394,Melter (Royal Mint)
2,8117395,Melter (steelworks)
2,8117396,Melter (zinc smelting)
2,8117397,"Melter, bullion"
2,8117398,"Melter, electric"
2,8117399,"Melter, gold"
2,8117400,"Melter, hand, first"
2,8117401,"Melter, lead"
2,8117402,"Melter, platinum"
2,8117403,"Melter, silver"
2,8117404,"Melter, steel"
2,8117405,Metaller
2,8117406,Middler (rolling mill)
2,8117407,"Minder, stove"
2,8117408,Mixer (steelworks)
2,8117409,"Mixer, metal"
2,8117410,"Mixer, sand (metal mfr)"
2,8117411,"Moulder, battery"
2,8117412,"Moulder, fork (digging, hay, etc)"
2,8117413,"Moulder, lead (battery mfr)"
2,8117414,Nitrider
2,8117415,Normaliser
2,8117416,"Oiler, tube (tube mfr)"
2,8117417,Opener (tinplate mfr)
2,8117418,"Opener, hot (steel mfr)"
2,8117419,"Opener, plate (tinplate)"
2,8117420,"Operator, bath, salt (metal goods mfr)"
2,8117421,"Operator, bench, draw"
2,8117422,"Operator, block, bull"
2,8117423,"Operator, castings (metal mfr)"
2,8117424,"Operator, coil, steel"
2,8117425,"Operator, control (steelworks)"
2,8117426,"Operator, degrease"
2,8117427,"Operator, degreaser"
2,8117428,"Operator, depiler (metal mfr)"
2,8117429,"Operator, extruder (metal trades)"
2,8117430,"Operator, extrusion (metal trades)"
2,8117431,"Operator, forge"
2,8117432,"Operator, furnace (metal mfr)"
2,8117433,"Operator, furnace, annealing"
2,8117434,"Operator, furnace, carburising"
2,8117435,"Operator, furnace, electrical (metal mfr)"
2,8117436,"Operator, furnace, slab, pusher"
2,8117437,"Operator, furnace, treatment, heat"
2,8117438,"Operator, hammer"
2,8117439,"Operator, hot"
2,8117440,"Operator, line, pickle (steel mfr)"
2,8117441,"Operator, mangle"
2,8117442,"Operator, manipulator (steel mfr)"
2,8117443,"Operator, mill (rolling mill)"
2,8117444,"Operator, mill, foil (aluminium)"
2,8117445,"Operator, mill, hot (metal trades)"
2,8117446,"Operator, mill, rolling"
2,8117447,"Operator, mill, tube"
2,8117448,"Operator, pilger"
2,8117449,"Operator, plant, degreasing"
2,8117450,"Operator, plant, sinter"
2,8117451,"Operator, pot (aluminium mfr)"
2,8117452,"Operator, pulpit (steel mfr)"
2,8117453,"Operator, pusher (metal mfr)"
2,8117454,"Operator, shear, flying"
2,8117455,"Operator, shears, flying"
2,8117456,"Operator, sinter"
2,8117457,"Operator, steel (metal mfr)"
2,8117458,"Operator, swaging"
2,8117459,"Operator, tilter (steel)"
2,8117460,"Operator, transfer (metal mfr)"
2,8117461,"Operator, treatment, heat (metal)"
2,8117462,"Ovenman, iron, malleable"
2,8117463,"Packer, oven (foundry)"
2,8117464,Passer (metal trades: rolling mill)
2,8117465,"Passer, sample"
2,8117466,"Patenter, wire"
2,8117467,Pickler (metal trades)
2,8117468,"Pickler, aluminium"
2,8117469,"Pickler, iron"
2,8117470,"Pickler, steel, strip"
2,8117471,"Pickler, tube"
2,8117472,"Pickler, underhand"
2,8117473,"Pickler, wire"
2,8117474,Piercer (tube mfr)
2,8117475,Potman (cable mfr)
2,8117476,Potman (metal mfr)
2,8117477,Potter (lead smelting)
2,8117478,"Potter, furnace, blast"
2,8117479,Pourer (foundry)
2,8117480,Presser (metal trades: tube mfr)
2,8117481,"Presser, bending"
2,8117482,"Presser, clipping"
2,8117483,"Presser, extruding (metal trades)"
2,8117484,"Presser, fitter's"
2,8117485,"Presser, lead (cable mfr)"
2,8117486,"Presser, pipe"
2,8117487,Puddler (metal)
2,8117488,Puller-out (metal mfr)
2,8117489,Rackman (metal mfr)
2,8117490,Rammer (metal mfr)
2,8117491,"Rammer, plug"
2,8117492,Re-roller (wire mfr)
2,8117493,Recaster
2,8117494,Receiver (rolling mill)
2,8117495,"Recoverer, zinc"
2,8117496,"Rectifier, tube"
2,8117497,Reeler (rolling mill)
2,8117498,"Reeler, bar"
2,8117499,Reelerman (rolling mill)
2,8117500,Refiner (metal mfr)
2,8117501,"Refiner, bullion"
2,8117502,"Refiner, gold"
2,8117503,"Refiner, nickel"
2,8117504,"Refiner, silver"
2,8117505,Reheater
2,8117506,"Reliner, bearing"
2,8117507,Riser (metal rolling)
2,8117508,"Riser, mill"
2,8117509,Roller (metal trades)
2,8117510,"Roller, bar, puddled"
2,8117511,"Roller, cogging"
2,8117512,"Roller, cold"
2,8117513,"Roller, finishing"
2,8117514,"Roller, forge"
2,8117515,"Roller, head"
2,8117516,"Roller, hot (steel mfr)"
2,8117517,"Roller, mill (iron, steel tube mfr)"
2,8117518,"Roller, mill, blooming"
2,8117519,"Roller, mill, roughing"
2,8117520,"Roller, mill, sheet"
2,8117521,"Roller, plate"
2,8117522,"Roller, rod"
2,8117523,"Roller, roughing"
2,8117524,"Roller, section"
2,8117525,"Roller, side"
2,8117526,"Roller, strip"
2,8117527,"Roller, tube (metal)"
2,8117528,"Roller, tyre (steel)"
2,8117529,"Roller, under"
2,8117530,"Roller, wire"
2,8117531,Rollsman (copper rolling)
2,8117532,Rougher (rolling mill)
2,8117533,Rounder (tube mfr)
2,8117534,"Runner, metal (white)"
2,8117535,Scaler (rolling mill)
2,8117536,Scaler (steel mfr)
2,8117537,Scourer (tinplate mfr)
2,8117538,Scourer (wire mfr)
2,8117539,Screwer (metal trades: rolling mill)
2,8117540,Screwer-down (rolling mill)
2,8117541,Screwman (metal mfr)
2,8117542,Setter (metal trades: type foundry)
2,8117543,"Setter, core"
2,8117544,"Setter, die (wire mfr)"
2,8117545,"Setter, guide (steel mfr)"
2,8117546,"Setter, mould (steelworks)"
2,8117547,"Setter, spring"
2,8117548,"Sheather, cable"
2,8117549,Sherardizer
2,8117550,Shingler (iron works)
2,8117551,"Shopman, bottle (iron, steel tube mfr)"
2,8117552,Sinterer (metal mfr)
2,8117553,Sinterer (mine: not coal)
2,8117554,Skimmer (metal mfr)
2,8117555,Slagger (blast furnace)
2,8117556,Slagger (steel casting)
2,8117557,Slagman (blast furnace)
2,8117558,Smelter (metal mfr)
2,8117559,"Smelter, lead"
2,8117560,"Smelter, steel"
2,8117561,"Smith, chain"
2,8117562,"Smith, coil (tube mfr)"
2,8117563,"Softener, lead"
2,8117564,"Spinner, pipe (iron, steel tube mfr)"
2,8117565,"Sprayer, copper"
2,8117566,"Sprayer, lime (iron and steelworks)"
2,8117567,Springer (tube mfr)
2,8117568,"Squirter, lead (cartridge mfr)"
2,8117569,Stamper (Assay Office)
2,8117570,"Stamper, ingot"
2,8117571,Staver (tube mfr)
2,8117572,Stoker (metal mfr)
2,8117573,Stoker (shipbuilding)
2,8117574,"Stoker, furnace (metal mfr)"
2,8117575,Stover (blast furnace)
2,8117576,Stover (iron foundry)
2,8117577,Straightener (metal mfr)
2,8117578,"Straightener, bar"
2,8117579,"Straightener, drill"
2,8117580,"Straightener, iron"
2,8117581,"Straightener, mills, rod"
2,8117582,"Straightener, plate"
2,8117583,"Straightener, rail"
2,8117584,"Straightener, roller"
2,8117585,"Straightener, section"
2,8117586,"Straightener, shaft, crank"
2,8117587,"Straightener, steel"
2,8117588,"Straightener, tube"
2,8117589,Stretcher (metal mfr)
2,8117590,"Stretcher, tube"
2,8117591,Striker (coal mine)
2,8117592,Striker (metal trades)
2,8117593,Striker (railways)
2,8117594,"Striker, anvil"
2,8117595,"Striker, chain"
2,8117596,"Striker, forge"
2,8117597,"Striker, forger's"
2,8117598,"Striker, iron"
2,8117599,"Striker, smith's"
2,8117600,"Striker, wheel"
2,8117601,Stripper (metal trades: gold refining)
2,8117602,Stripper (metal trades: wire drawing)
2,8117603,"Stripper, gold"
2,8117604,"Stripper, ingot"
2,8117605,"Stripper, silver"
2,8117606,Swiftman
2,8117607,Tagger (steel mfr)
2,8117608,Tagger (tube mfr)
2,8117609,"Taker, temperature"
2,8117610,Tankman (non-ferrous metal mfr)
2,8117611,Tapper (iron and steelworks)
2,8117612,Tapper-out
2,8117613,Teazer (metal trades)
2,8117614,Teemer (steelworks)
2,8117615,"Teemer, ladle"
2,8117616,Temperer (metal trades)
2,8117617,"Temperer, wire"
2,8117618,"Tender, furnace (metal trades)"
2,8117619,"Tenter, cupola"
2,8117620,"Tenter, furnace"
2,8117621,"Tester, furnace"
2,8117622,Threader (needle mfr)
2,8117623,Tilter
2,8117624,Tilterman
2,8117625,Tonger (wire)
2,8117626,Tongsman (rolling mill)
2,8117627,Tongsman (steel hoop mill)
2,8117628,Tongsman (wrought iron mfr)
2,8117629,"Tongsman, back"
2,8117630,Tonguer
2,8117631,Trailer-down (rolling mill)
2,8117632,"Treater, heat"
2,8117633,Tuber (wire mfr)
2,8117634,"Tuber, wire (wire mfr)"
2,8117635,Tupper (steel mfr)
2,8117636,"Turner, core"
2,8117637,Uncoiler (tinplate mfr)
2,8117638,Unreeler (steel mfr)
2,8117639,Washer (metal trades)
2,8117640,Watcher (metal mfr)
2,8117641,"Watcher, furnace"
2,8117642,Wheelman (copper refining)
2,8117643,Wirer-up (electroplating)
2,8117644,"Worker, aluminium"
2,8117645,"Worker, forge"
2,8117646,"Worker, furnace (metal trades)"
2,8117647,"Worker, furnace, blast"
2,8117648,"Worker, hammer, power"
2,8117649,"Worker, lead, tea"
2,8117650,"Worker, mill (metal mfr)"
2,8117651,"Worker, mill, rolling"
2,8117652,"Worker, mill, rubber"
2,8117653,"Worker, mill, sheet"
2,8117654,"Worker, muffle (annealing)"
2,8117655,"Worker, muffle, foundry"
2,8117656,"Worker, plant, sinter"
2,8117657,"Worker, plate, tin (tinplate mfr)"
2,8117658,"Worker, process (metal trades: steelworks)"
2,8117659,"Worker, process (nickel mfr)"
2,8117660,"Worker, strip, copper"
2,8117661,"Worker, tinplate (tinplate mfr)"
2,8117662,"Worker, treatment, heat (metal)"
2,8117663,"Worker, treatment, heat (metal trades)"
2,8117664,"Worker, tube (steel)"
2,8117665,"Worker, wire, tungsten"
2,8118,Electroplaters
2,8118001,Anodiser
2,8118002,"Assistant, dip, hot"
2,8118003,"Assistant, silverer's"
2,8118004,"Attendant, anode"
2,8118005,"Attendant, bath, copper (glass mfr)"
2,8118006,"Attendant, baths, copper (glass mfr)"
2,8118007,"Attendant, electrolytic"
2,8118008,"Backer, mirror"
2,8118009,Bonderiser
2,8118010,Bronzer
2,8118011,"Bronzer, metal"
2,8118012,Browner
2,8118013,"Changer, gold"
2,8118014,Chromer (metal trades)
2,8118015,Cleaner (galvanised sheet mfr)
2,8118016,Coater (tinplate mfr)
2,8118017,Coater (wire mfr)
2,8118018,"Coater, colour"
2,8118019,"Coater, powder"
2,8118020,Cutter-through (steelworks)
2,8118021,Depositor (electroplating)
2,8118022,Dipper (metal trades: arc welding electrode mfr)
2,8118023,Dipper (metal trades: galvanising)
2,8118024,"Dipper (metal trades: precious metal, plate mfr)"
2,8118025,"Dipper, galvanising"
2,8118026,"Dipper, metal"
2,8118027,"Dipper, wire"
2,8118028,Electro-brasser (screws)
2,8118029,Electroformer
2,8118030,Electroplater
2,8118031,"Finisher, chromium"
2,8118032,Foreman (metal trades: electroplating)
2,8118033,"Foreman, electroplating"
2,8118034,Galvaniser
2,8118035,Gilder and plater
2,8118036,"Hand, vat (electroplating)"
2,8118037,Illuminiser
2,8118038,"Machinist, gold"
2,8118039,"Machinist, plating (metal trades)"
2,8118040,"Machinist, plating, wire"
2,8118041,"Man, tin (tinplate mfr)"
2,8118042,"Metalliser (lamp, valve mfr)"
2,8118043,"Metalliser, spray"
2,8118044,"Minder, cell (metal trades: galvanising)"
2,8118045,"Operator, dip (metal trades)"
2,8118046,"Operator, house, tin (tinplate)"
2,8118047,"Operator, plant, plating"
2,8118048,"Operator, plant, vacuum (metallisation)"
2,8118049,"Operator, plating"
2,8118050,"Operator, vat (metal mfr)"
2,8118051,Oxidiser (metal trades)
2,8118052,Phosphater
2,8118053,Plater (metal trades: electroplating)
2,8118054,Plater and gilder
2,8118055,"Plater, barrel"
2,8118056,"Plater, brass"
2,8118057,"Plater, cadmium"
2,8118058,"Plater, chrome"
2,8118059,"Plater, chromium"
2,8118060,"Plater, copper"
2,8118061,"Plater, dip"
2,8118062,"Plater, electro"
2,8118063,"Plater, gold"
2,8118064,"Plater, hand"
2,8118065,"Plater, lock"
2,8118066,"Plater, metal"
2,8118067,"Plater, metal, white"
2,8118068,"Plater, needle"
2,8118069,"Plater, nickel"
2,8118070,"Plater, silver"
2,8118071,"Plater, tin"
2,8118072,"Plater, tin (tinplate mfr)"
2,8118073,"Plater, tool, edge (surgical instrument mfr)"
2,8118074,"Plater, wire"
2,8118075,"Proofer, rust"
2,8118076,Silverer (electroplating)
2,8118077,Silverer (glass mfr)
2,8118078,Sprayer (electroplating)
2,8118079,"Sprayer, coat, powder"
2,8118080,"Sprayer, metal"
2,8118081,Stripper (metal trades: electroplating)
2,8118082,Tanker (galvanised sheet mfr)
2,8118083,Tinner (metal trades)
2,8118084,"Tinner, coil"
2,8118085,"Tinner, copper"
2,8118086,"Tinner, grease"
2,8118087,"Tinner, wire"
2,8118088,Tinplater (tinplate mfr)
2,8118089,Vatman (wire mfr)
2,8118090,"Worker, nickel (electroplating)"
2,8119,Process operatives n.e.c.
2,8119001,"Assistant, kiln"
2,8119002,"Assistant, pot, melting (electric cable)"
2,8119003,"Attendant, calender (linoleum)"
2,8119004,"Attendant, dryer (plasterboard)"
2,8119005,"Attendant, dryer (macadam)"
2,8119006,"Attendant, grinder (cement)"
2,8119007,"Attendant, house, slip"
2,8119008,"Attendant, kiln (cement mfr)"
2,8119009,"Attendant, magazine, plasterboard"
2,8119010,"Attendant, mill (cement mfr)"
2,8119011,"Attendant, mill, mortar"
2,8119012,"Attendant, mixer, concrete"
2,8119013,Backer (linoleum mfr)
2,8119014,"Batcher, concrete"
2,8119015,Beaterman (asbestos-cement mfr)
2,8119016,Bedman (asphalt mfr)
2,8119017,Blender (cast stone products mfr)
2,8119018,Blender (linoleum mfr)
2,8119019,"Breaker, ore (blast furnace)"
2,8119020,"Breaker, stone"
2,8119021,Burner (cement mfr)
2,8119022,Burner (lime burning)
2,8119023,"Burner, kiln (cement mfr)"
2,8119024,"Burner, lime"
2,8119025,Calciner (mine: not coal)
2,8119026,Calenderman (linoleum mfr)
2,8119027,Caster (cast stone products mfr)
2,8119028,"Caster, concrete"
2,8119029,"Caster, slab"
2,8119030,"Caster, stone"
2,8119031,"Caster, tile"
2,8119032,"Catcher, pole (linoleum)"
2,8119033,Charger (linoleum mfr)
2,8119034,Charger (slag wool mfr)
2,8119035,"Charger, blunger"
2,8119036,Clampman (fire brick mfr)
2,8119037,Cleaner (asbestos-cement mfr)
2,8119038,"Cleaner, gut"
2,8119039,Coater (linoleum mfr)
2,8119040,"Cook, mastic (asphalt mfr)"
2,8119041,Crusher (minerals)
2,8119042,"Crusher, bone"
2,8119043,"Crusher, coal"
2,8119044,Cutter (linoleum mfr)
2,8119045,"Cutter, guillotine (asbestos-cement goods mfr)"
2,8119046,"Drawer, lime (lime burning)"
2,8119047,"Dresser, concrete"
2,8119048,"Dresser, gypsum"
2,8119049,"Dresser, lime"
2,8119050,"Dresser, stone (concrete products mfr)"
2,8119051,Driller (asbestos composition goods mfr)
2,8119052,Driller (asbestos goods mfr)
2,8119053,"Driller, asbestos"
2,8119054,"Driver, mixer, concrete"
2,8119055,Dryer (metal trades)
2,8119056,"Dryer, clay"
2,8119057,"Dryer, ore"
2,8119058,"Dryer, pearl"
2,8119059,"Dryer, salt"
2,8119060,"Dryer, sand"
2,8119061,Fabricator (cast stone products mfr)
2,8119062,"Feeder, clay"
2,8119063,"Feeder, mill"
2,8119064,"Feeder, pan"
2,8119065,Festooner (linoleum mfr)
2,8119066,Festooner (oilskin mfr)
2,8119067,Fettler (cast concrete products mfr)
2,8119068,Filler (cast concrete products mfr)
2,8119069,Finisher (asbestos-cement goods mfr)
2,8119070,Finisher (cast concrete products mfr)
2,8119071,"Finisher, concrete"
2,8119072,"Finisher, pipe (cast concrete products mfr)"
2,8119073,"Finisher, post (concrete)"
2,8119074,"Finisher, stone (cast concrete products mfr)"
2,8119075,Fireman (abrasives mfr)
2,8119076,"Firer, kiln"
2,8119077,Foiler (plasterboard mfr)
2,8119078,Foreman (asbestos-cement goods mfr)
2,8119079,Foreman (asphalt mfr)
2,8119080,Foreman (brake linings mfr)
2,8119081,Foreman (cast concrete products mfr)
2,8119082,Foreman (cement mfr)
2,8119083,Foreman (concrete mfr)
2,8119084,Foreman (linoleum mfr)
2,8119085,Foreman (plasterboard mfr)
2,8119086,"Foreman, plant, mixing (asphalt mfr)"
2,8119087,Fritter
2,8119088,"Furnaceman, calcining (flint)"
2,8119089,Gauger (cast stone products mfr)
2,8119090,"Gauger, gut"
2,8119091,Grinder (cast concrete products mfr)
2,8119092,"Grinder, compo (metal mfr)"
2,8119093,"Grinder, composition (metal mfr)"
2,8119094,"Grinder, cutter (cemented carbide goods mfr)"
2,8119095,"Grinder, dust"
2,8119096,"Grinder, sand"
2,8119097,"Grinder, silica"
2,8119098,"Hand, calender (linoleum mfr)"
2,8119099,"Hand, furnace (mine: not coal)"
2,8119100,"Hand, guillotine (asbestos-cement goods mfr)"
2,8119101,"Hand, house, slip"
2,8119102,"Hand, mill"
2,8119103,"Hand, mill, wash (cement)"
2,8119104,"Hand, sliphouse"
2,8119105,"Hanger, lino (linoleum mfr)"
2,8119106,"Hanger, linoleum (linoleum mfr)"
2,8119107,Heatman (linoleum mfr)
2,8119108,Hopperman (cement mfr)
2,8119109,"Houseman, slip"
2,8119110,"Hydrator, lime"
2,8119111,"Loader, mould (asbestos composition goods mfr)"
2,8119112,Machinist (candle mfr)
2,8119113,Machinist (concrete mfr)
2,8119114,Machinist (linoleum mfr)
2,8119115,"Machinist, cleaning (seed merchants)"
2,8119116,"Machinist, embossing (floor and leather cloth mfr)"
2,8119117,"Machinist, grinding (cement mfr)"
2,8119118,"Machinist, making (plasterboard mfr)"
2,8119119,"Machinist, shaking"
2,8119120,"Machinist, washing and mixing (abrasives mfr)"
2,8119121,"Machinist, winding (oilskin mfr)"
2,8119122,Maker (cast concrete products mfr)
2,8119123,"Maker, asphalt"
2,8119124,"Maker, block, asphalt"
2,8119125,"Maker, block, cement"
2,8119126,"Maker, block, concrete"
2,8119127,"Maker, cement"
2,8119128,"Maker, clay"
2,8119129,"Maker, concrete"
2,8119130,"Maker, curb (cast concrete products mfr)"
2,8119131,"Maker, flag (cast concrete products mfr)"
2,8119132,"Maker, kerbstone (cast concrete products mfr)"
2,8119133,"Maker, lino"
2,8119134,"Maker, linoleum"
2,8119135,"Maker, mash (leathercloth mfr)"
2,8119136,"Maker, panel (plaster)"
2,8119137,"Maker, post (concrete)"
2,8119138,"Maker, putty"
2,8119139,"Maker, slab (cast concrete products mfr)"
2,8119140,"Maker, stone, composition"
2,8119141,"Maker, stone, concrete (precast)"
2,8119142,"Maker, stone, kerb (cast concrete products mfr)"
2,8119143,"Maker, tile (concrete)"
2,8119144,"Maker, tile (asbestos-cement)"
2,8119145,"Man, back-end (cement mfr)"
2,8119146,"Man, boiling, tar (cable mfr)"
2,8119147,"Man, dolomite (iron and steelworks)"
2,8119148,"Man, dry (china clay)"
2,8119149,"Man, floor (asphalt mfr)"
2,8119150,"Man, kiln (abrasive wheel mfr)"
2,8119151,"Man, kiln (cement mfr)"
2,8119152,"Man, kiln, dry"
2,8119153,"Man, kiln, gypsum"
2,8119154,"Man, kiln, lime"
2,8119155,"Man, mill (whiting mfr)"
2,8119156,"Man, mill, potter's"
2,8119157,"Man, mill, pug"
2,8119158,"Man, mixer (building and contracting)"
2,8119159,"Man, mixer, asphalt"
2,8119160,"Man, paper (plasterboard mfr)"
2,8119161,"Man, pug"
2,8119162,"Man, slaker"
2,8119163,"Man, tank, cable"
2,8119164,Manufacturer (cast concrete goods)
2,8119165,"Matcher, colour (linoleum mfr)"
2,8119166,Miller (cement mfr)
2,8119167,"Miller, cement"
2,8119168,"Miller, coal (cement mfr)"
2,8119169,"Miller, gypsum"
2,8119170,"Miller, lime"
2,8119171,"Miller, wash (cement mfr)"
2,8119172,"Miller, wet (cement mfr)"
2,8119173,Mixer (artificial teeth mfr)
2,8119174,Mixer (cast concrete products mfr)
2,8119175,Mixer (cement mfr)
2,8119176,Mixer (cemented carbide goods mfr)
2,8119177,Mixer (tar macadam mfr)
2,8119178,"Mixer, asphalt"
2,8119179,"Mixer, cement (building and contracting)"
2,8119180,"Mixer, concrete"
2,8119181,"Mixer, glass"
2,8119182,"Mixer, lino"
2,8119183,"Mixer, linoleum"
2,8119184,"Mixer, macadam"
2,8119185,"Mixer, marl"
2,8119186,"Mixer, putty"
2,8119187,"Mixer, slurry (cement mfr)"
2,8119188,Moulder (asbestos-cement goods mfr)
2,8119189,Moulder (cast concrete products mfr)
2,8119190,"Moulder, compo"
2,8119191,"Moulder, concrete"
2,8119192,"Moulder, hand (asbestos goods mfr)"
2,8119193,"Operative, concrete (concrete products mfr)"
2,8119194,"Operator, drier (plasterboard)"
2,8119195,"Operator, hydrate"
2,8119196,"Operator, kiln"
2,8119197,"Operator, mill, mortar"
2,8119198,"Operator, mixer (cast concrete products mfr)"
2,8119199,"Operator, plant, concrete"
2,8119200,"Operator, room, drying"
2,8119201,"Packer, sagger"
2,8119202,Plasterer (cast concrete products mfr)
2,8119203,Plugger (stoneware pipe mfr)
2,8119204,"Polisher, tile (asbestos-cement goods mfr)"
2,8119205,Presser (cemented carbide goods mfr)
2,8119206,"Presser, hot (cemented carbide goods mfr)"
2,8119207,"Presser, lining, brake"
2,8119208,"Presser, washer"
2,8119209,Pugger
2,8119210,"Roaster (minerals, etc)"
2,8119211,Sawyer (asbestos-cement goods mfr)
2,8119212,"Scraper, gut"
2,8119213,Scratcher (linoleum mfr)
2,8119214,Screener (iron shot and grit mfr)
2,8119215,"Selector, gut"
2,8119216,"Sheeter, asbestos (asbestos-cement goods mfr)"
2,8119217,Slimer (gut cleaning)
2,8119218,"Slugger, paste"
2,8119219,Spinner (gut processing)
2,8119220,"Spinner, concrete"
2,8119221,"Spinner, gut"
2,8119222,"Spinner, pipe (cast concrete products mfr)"
2,8119223,"Spinner, pot (carborundum mfr)"
2,8119224,Splitter (gut dressing)
2,8119225,"Splitter, gut"
2,8119226,"Sprayer, asbestos"
2,8119227,Spreader (linoleum mfr)
2,8119228,"Steamer, pipe, spun"
2,8119229,"Stoker, kiln, lime"
2,8119230,Stover
2,8119231,"Stripper, furniture"
2,8119232,"Stripper, pine"
2,8119233,Taker-off (cast concrete products mfr)
2,8119234,Taker-off (plasterboard mfr)
2,8119235,Temperer (metal trades: blast furnace)
2,8119236,Trimmer (cement mfr)
2,8119237,Turner (asbestos-cement goods mfr)
2,8119238,"Twister, gut"
2,8119239,"Worker, block, concrete"
2,8119240,"Worker, cement"
2,8119241,"Worker, concrete (concrete products mfr)"
2,8119242,"Worker, concrete, pre-cast"
2,8119243,"Worker, house, slip"
2,8119244,"Worker, kiln (lime burning)"
2,8119245,"Worker, mill, grog"
2,8119246,"Worker, process (abrasives mfr)"
2,8119247,"Worker, process (cable mfr)"
2,8119248,"Worker, process (cast concrete products mfr)"
2,8119249,"Worker, process (cemented carbide goods mfr)"
2,8119250,"Worker, process (electrical engineering)"
2,8119251,"Worker, process (jewellery, plate mfr)"
2,8119252,"Worker, process (linoleum mfr)"
2,8119253,"Worker, stone (cast concrete products mfr)"
2,8119254,"Worker, tile (cast concrete products mfr)"
2,812,Plant And Machine Operatives
2,8121,Paper and wood machine operatives
2,8121001,"Adjuster, envelope"
2,8121002,"Adjuster, machine (paper goods mfr)"
2,8121003,"Assistant, beater's"
2,8121004,"Assistant, beaterman's"
2,8121005,"Assistant, calender (paper mfr)"
2,8121006,"Assistant, calenderman's (paper mfr)"
2,8121007,"Assistant, cutter's (paper mfr)"
2,8121008,"Assistant, cutter's (paper pattern mfr)"
2,8121009,"Assistant, cutter's, paper"
2,8121010,"Assistant, dryerman's (paper)"
2,8121011,"Assistant, hydropulper"
2,8121012,"Assistant, laminating (paper mfr)"
2,8121013,"Assistant, man's, machine (paper mfr)"
2,8121014,"Assistant, reelerman's (paper mfr)"
2,8121015,"Assistant, slitter's (films)"
2,8121016,"Assistant, tender's, machine, pasteboard"
2,8121017,"Attendant, calender (paper)"
2,8121018,"Attendant, conditioner (paper mfr)"
2,8121019,"Attendant, creel, sisal"
2,8121020,"Attendant, felt (paper mfr)"
2,8121021,"Attendant, grainer (paper mfr)"
2,8121022,"Attendant, humidifier"
2,8121023,"Attendant, mill, saw"
2,8121024,"Attendant, mill, wood"
2,8121025,"Attendant, thickener"
2,8121026,Backer (paper mfr)
2,8121027,"Backer, paper, stencil"
2,8121028,Bander (cardboard box mfr)
2,8121029,Beater (paper mill)
2,8121030,Beaterman (paper mfr)
2,8121031,Bender (cardboard box mfr)
2,8121032,Bender and slotter (cardboard)
2,8121033,Binder (cardboard box mfr)
2,8121034,Bitter (cardboard box mfr)
2,8121035,Bleacher (paper)
2,8121036,Bleacher (wood pulp)
2,8121037,Blocker (wood heel mfr)
2,8121038,Boiler (paper mfr)
2,8121039,"Boiler, rag"
2,8121040,"Boiler, woodpulp"
2,8121041,Boilerman (paper mfr)
2,8121042,Borer (woodwind instruments mfr)
2,8121043,"Borer and cutter, cross"
2,8121044,"Borer, wood"
2,8121045,Bottomer (cardboard box mfr)
2,8121046,Brander
2,8121047,Breaker (paper mfr)
2,8121048,"Breaker, woodpulp"
2,8121049,Breakerman (paper mfr)
2,8121050,"Breakerman, rag"
2,8121051,"Breaster, heel (wood)"
2,8121052,Brusher (paper mfr)
2,8121053,Brusher (wallpaper mfr)
2,8121054,"Brusher, pigment"
2,8121055,"Builder, drum (cables)"
2,8121056,"Builder, vat"
2,8121057,Calenderer (paper mfr)
2,8121058,Calenderman (paper mfr)
2,8121059,"Calenderman, super"
2,8121060,Catcher (paper mfr)
2,8121061,"Catcher, sheet (paper)"
2,8121062,"Cementer, paper"
2,8121063,"Changer, roller"
2,8121064,Chipper (chipboard mfr)
2,8121065,"Chopper, wood (sawmilling)"
2,8121066,Chopperman (paper mfr)
2,8121067,"Cleaner, wood"
2,8121068,"Clipper, veneer"
2,8121069,Coater (stencil paper mfr)
2,8121070,"Coater, paper"
2,8121071,Combiner (paper mfr)
2,8121072,Concaver (footwear mfr)
2,8121073,Concentratorman (paper mfr)
2,8121074,Conditioner (paper mfr)
2,8121075,"Conditioner, paper"
2,8121076,"Converter, paper"
2,8121077,"Converter, paper (paper goods mfr)"
2,8121078,"Converter, timber"
2,8121079,"Copier, pattern, paper"
2,8121080,Corrugator (paper mfr)
2,8121081,Coucher
2,8121082,Creaser (printing)
2,8121083,"Creosoter, timber"
2,8121084,"Cutter (abrasive paper, cloth mfr)"
2,8121085,Cutter (furniture mfr)
2,8121086,Cutter (packing case (wood) mfr)
2,8121087,Cutter (paper goods mfr)
2,8121088,Cutter (paper mfr)
2,8121089,Cutter (paper pattern mfr)
2,8121090,Cutter (printing)
2,8121091,Cutter (woodworking)
2,8121092,"Cutter, belt (abrasives mfr)"
2,8121093,"Cutter, box (cardboard)"
2,8121094,"Cutter, card (paper goods mfr)"
2,8121095,"Cutter, film (photographic film mfr)"
2,8121096,"Cutter, guillotine (paper goods mfr)"
2,8121097,"Cutter, guillotine (wood products mfr)"
2,8121098,"Cutter, maker's, box"
2,8121099,"Cutter, negative"
2,8121100,"Cutter, panel (wood)"
2,8121101,"Cutter, paper"
2,8121102,"Cutter, pattern, paper"
2,8121103,"Cutter, press (paper goods mfr)"
2,8121104,"Cutter, print"
2,8121105,"Cutter, rotary (paper goods mfr)"
